subject,list,trial,prime_given,prime_condition,target,state,state_RT,response,response_RT,accuracy,prompt,distance
59,ExpProc3,1,GLACIER,semantic,Yellowstone,dontknow,2454,12345,6627,0,National park in which Old Faithful is located,11
59,ExpProc3,2,HEAD,unrelated,congruent,dontknow,9940,12345,3593,0,Identical in form; coinciding exactly when superimposed,9
59,ExpProc3,3,HURRICANE,semantic,tsunami,dontknow,6032,12345,1282,0,The proper name for a tidal	wave,9
59,ExpProc3,4,DOYLE,semantic,Watson,know,1987,Watson,9671,1,Last name of Sherlock Holmes' assistant and friend,6
59,ExpProc3,5,IDEAL,semantic,paragon,know,5729,epitome,6221,0,A person or thing characterized as a perfect example of a particular quality,7
59,ExpProc3,6,ADVANTAGEOUS,both,auspicious,dontknow,4311,12345,2484,0,Showing or suggesting that future success is likely,12
59,ExpProc3,7,BOLIVAR,both,Batista,dontknow,4973,12345,1800,0,Cuban president overthrown by Castro,6
59,ExpProc3,8,HOMEOWNER,phonological,hemorrhage,tipoftongue,8992,12345,2237,0,"The escape of blood from vessels, including internal and external bleeding",10
59,ExpProc3,9,OSMOSIS,phonological,Oswald,know,6316,Oswald,4253,1,Last name of JFK's assassin,6
59,ExpProc3,10,IGLOO,unrelated,Hale,dontknow,1332,12345,1975,0,Last name of man known for saying I	only	regret	that	I	have	but	one	life	to	give	for	my	country,5
59,ExpProc3,11,NARRATE,phonological,Nairobi,know,1078,Nairobi,7073,1,Capital of Kenya,6
59,ExpProc3,12,APPLAUSE,both,accolade,know,1636,accolade,3597,1,A ceremonial embrace; an award or expression of praise,8
59,ExpProc3,13,WRESTLE,unrelated,eccentric,know,1469,peculiar,6706,0,Unconventional and slightly strange; deviating from an established or usual pattern or style,9
59,ExpProc3,14,BANGALORE,both,Bangkok,know,1214,Bangkok,10532,1,Capital of Thailand,8
59,ExpProc3,15,MIRACLE,phonological,Miller,dontknow,2961,12345,1205,0,Last name of the author of The Crucible,6
59,ExpProc3,16,ALGORITHM,both,abacus,know,1061,abacus,2689,1,Instrument for performing calculations by sliding beads along rods or grooves,9
59,ExpProc3,17,TENNIS,unrelated,Dante,dontknow,2820,12345,2820,0,Italian poet known for writing The	Inferno,6
59,ExpProc3,18,COPENHAGEN,semantic,Stockholm,know,10661,Stockholm,4337,1,Capital of Sweden,10
59,ExpProc3,19,CAIRO,both,Casablanca,know,3307,monte,1642,0,Capital of Morocco and famous movie title,9
59,ExpProc3,20,CORDOBA,both,Caracas,know,1139,Caracas,3900,1,Capital of Venezuela,6
59,ExpProc3,21,ABANDON,both,abdicate,know,4241,abdicate,2599,1,To formally renounce a throne,8
59,ExpProc3,22,OSTEOPOROSIS,phonological,ostentatious,tipoftongue,5545,12345,3276,0,Characterized by vulgar or conspicuous display,12
59,ExpProc3,23,OMNIVOROUS,phonological,omnipotent,know,1191,omnipotent,4567,1,Having unlimited power; able to do anything,10
59,ExpProc3,24,DUCK,unrelated,fervent,dontknow,7481,12345,1641,0,Having or displaying a passionate intensity,7
59,ExpProc3,25,CARLISLE,both,Carver,other,5384,skippy,3752,0,Last name of man credited with inventing peanut butter,7
59,ExpProc3,26,OKRA,phonological,O'Connor,know,1318,O'Connor,5882,1,Last name of first female US Supreme Court justice,7
59,ExpProc3,27,HOT,phonological,hoist,know,3949,hoist,3286,1,To raise into position by means of a pulley,5
59,ExpProc3,28,TORONTO,semantic,Ottawa,know,1618,Ottawa,3388,1,Capital of Canada,6
59,ExpProc3,29,WATER,unrelated,Garland,dontknow,675,12345,1924,0,Last name of actress who played Dorothy in Wizard of Oz,7
59,ExpProc3,30,INJURED,phonological,injudicious,dontknow,6541,12345,886,0,Showing poor judgment; unwise,11
59,ExpProc3,31,MONDALE,semantic,Quayle,other,0,quale,8009,0,Last name of vice president of George H.W. Bush,7
59,ExpProc3,32,NOISE,unrelated,elucidate,dontknow,6145,12345,1919,0,To make something clear; explain in detail,9
59,ExpProc3,33,LAPSE,unrelated,fortuitous,dontknow,7389,12345,1176,0,Happening by a lucky chance or by accident rather than by design,10
59,ExpProc3,34,LLAMA,unrelated,diverge,dontknow,8574,12345,1521,0,To extend in separate directions from a common point; to turn aside or deviate,7
59,ExpProc3,35,EGG,unrelated,deplete,know,1631,exhaust,2903,0,To empty of a principal substance; to exhaust the abundance of,7
59,ExpProc3,36,BILATERAL,both,binomial,know,1303,equation,2379,0,A mathematical expression consisting of two terms,9
59,ExpProc3,37,WRAP,unrelated,default,know,8058,contempt,4423,0,"To fail to act, to pay, or to appear for judgment in court",7
59,ExpProc3,38,LINOLEUM,phonological,Lindbergh,know,1212,Lindbergh,4010,1,Last name of first person to fly solo nonstop across Atlantic,8
59,ExpProc3,39,ADVANCE,both,advocate,know,6685,endorse,4289,0,To plead the cause of another; to support or promote,8
59,ExpProc3,40,CHRISTIE,both,Carroll,dontknow,260,12345,2331,0,Last name of author of Alice in Wonderland,7
59,ExpProc3,41,IMPLEMENT,phonological,interject,dontknow,4182,12345,1431,0,"To say something abruptly, especially as an aside or interruption",9
59,ExpProc3,42,ACRONYM,both,anagram,dontknow,4318,12345,2027,0,"Word made by changing the order of letters in another word; e.g. plum, lump",7
59,ExpProc3,43,REMEDY,semantic,panacea,know,3807,pacadea,11533,0,A medicine which can cure any illness,7
59,ExpProc3,44,POINT,unrelated,Cummings,dontknow,2672,12345,925,0,20th century American poet whose trademark was using only lowercase letters,8
59,ExpProc3,45,KENOBI,semantic,Skywalker,know,4169,Luke,4003,0,Last name of Leia's brother and Darth Vader's son in Star Wars,9
59,ExpProc3,46,ALARM,unrelated,deference,know,2606,deference,2901,1,Humble submission and respect,9
59,ExpProc3,47,RECOMMENDATION,semantic,proposition,know,6080,recommendation,5368,0,Something offered for consideration or acceptance,14
59,ExpProc3,48,WITHDRAWN,semantic,taciturn,know,3053,withdrawn,4196,0,"Saying little, reserved, uncommunicative",9
59,ExpProc3,49,AVOID,both,abstain,tipoftongue,4344,12345,1491,0,To refrain deliberately and often with an effort of self-denial from an action or practice,7
59,ExpProc3,50,MEANDER,phonological,meager,know,5190,mediocre,6926,0,"Lacking desirable qualities, as in richness or strength",7
59,ExpProc3,51,MONOGRAM,phonological,monotony,know,990,monotonous,3692,0,Tedious sameness of tone or sound,8
59,ExpProc3,52,EMERSON,semantic,Thoreau,know,3801,ralph,2712,0,Last name of American transcendentalist known for Walden and Civil Disobedience,7
59,ExpProc3,53,ALPS,both,Andes,know,3750,Andes,2750,1,South America's largest mountain range,4
59,ExpProc3,54,BEARD,unrelated,gosling,know,2988,gosling,2812,1,A young goose,7
59,ExpProc3,55,OUTLINE,semantic,recapitulate,know,1688,review,2134,0,Summarize and state again the main points of something,12
59,ExpProc3,56,ABNORMALITY,both,anachronism,tipoftongue,2591,12345,2391,0,Something out of keeping with the time in which it exists,11
59,ExpProc3,57,CLARK,both,Clay,dontknow,1259,12345,847,0,Original last name of Muhammad Ali,4
59,ExpProc3,58,HAPPY,unrelated,Gershwin,tipoftongue,4455,12345,1815,0,Last name of American composer most known for Rhapsody in Blue and An American in Paris,8
59,ExpProc3,59,VISION,semantic,prophecy,know,4250,vision,1609,0,A prediction of what will happen in the future,8
59,ExpProc3,60,OBSTRUCT,phonological,obscure,tipoftongue,2799,12345,3294,0,Not readily understood or clearly expressed,8
59,ExpProc3,61,ADVANCED,semantic,precocious,dontknow,3797,12345,2067,0,Having developed certain abilities or proclivities at an earlier age than usual,10
59,ExpProc3,62,PAWN,unrelated,facetious,know,1285,crude,2553,0,Treating serious issues with deliberately inappropiate humor,9
59,ExpProc3,63,DISC,unrelated,Hancock,know,1050,Hancock,2894,1,Last name of first man to sign the Declaration of Independence,7
59,ExpProc3,64,CAMOFLAUGE,both,chameleon,know,2026,chameleon,3356,1,A small lizard with skin that changes color to match its surroundings,10
59,ExpProc3,65,CORPSE,both,carcass,know,863,carcass,2633,1,"The complete remains of a dead animal, especially at a butcher's",7
59,ExpProc3,66,AUSTEN,both,Alcott,dontknow,2487,12345,1066,0,Last name of author of Little Women,5
59,ExpProc3,67,PRINT,unrelated,Darfur,know,1036,Darfur,2881,1,Region in Sudan where guerilla conflict and possibly genocide began in 2003,6
59,ExpProc3,68,LOCKET,phonological,loquacious,know,2221,12345,1488,0,Tending to talk much or freely; chatty,10
59,ExpProc3,69,INSTANTIATE,phonological,instigate,know,2559,instigate,2320,1,"To goad or push forward; to incite someone to do something, especially something bad",11
59,ExpProc3,70,KICK,unrelated,foliage,know,1279,brush,2923,0,"A cluster of leaves, buds, or branches",7
59,ExpProc3,71,MANILA,phonological,Mandela,know,972,Mandela,3250,1,Last name of South African imprisoned for 27 years before becoming president,6
59,ExpProc3,72,CORSICA,semantic,Sicily,know,2283,Sicily,2445,1,The largest Mediterranean island; the Italian island known for its archaelogical sites and major cities such as Palermo,7
59,ExpProc3,73,GAUDY,semantic,pretentious,dontknow,1078,12345,625,0,Attempting to impress by affecting greater importance or talent than is actually possesssed,11
59,ExpProc3,74,OBSTRETRICIAN,phonological,obstinate,know,1290,obstinate,2613,1,"Stubbornly refusing to change one's opinion or action, despite reason, arguments, or persuasion",13
59,ExpProc3,75,BEFUDDLE,both,bewilder,tipoftongue,1162,12345,962,0,To cause someone to become perplexed and confused,8
59,ExpProc3,76,MICE,phonological,mince,know,661,mince,2230,1,To cut or chop food into very small pieces,5
59,ExpProc3,77,ORNATE,phonological,ornithology,know,962,ornithology,6232,1,Branch of zoology dealing with birds,11
59,ExpProc3,78,IDIOMATIC,phonological,idiosyncrasy,know,1027,idiosyncrasy,4520,1,"A distinctive or peculiar feature or characteristic of an individual, place, or thing",12
59,ExpProc3,79,FREEZE,unrelated,covenant,know,831,covenant,2810,1,A promise between God and humans,8
59,ExpProc3,80,CHEW,unrelated,Dean,dontknow,871,12345,682,0,Last name of American actor known for his role in Rebel Without A Cause,4
59,ExpProc3,81,CRACK,unrelated,epithet,dontknow,951,12345,886,0,An adjective or phrase expressing a quality regarded as characteristic of the person or thing,7
59,ExpProc3,82,CLAYBORN,both,Clemens,dontknow,745,12345,728,0,Original last name of Mark Twain,7
59,ExpProc3,83,NEUROSURGERY,phonological,Nuremberg,know,2982,Nuremberg,3935,1,German city for which antisemitic laws were named,11
59,ExpProc3,84,ADAMS,semantic,Revere,know,3538,revere,1273,1,Last name of American revolutionary known for his midnight ride,6
59,ExpProc3,85,BARGAIN,both,barter,know,570,barter,2030,1,To trade by exchanging goods for other goods rather than money,7
59,ExpProc3,86,NUMBING,phonological,nullify,dontknow,1596,12345,550,0,Make of no use or value; cancel out,7
59,ExpProc3,87,JERK,semantic,tic,know,1355,tick,3925,0,"A habitual spastic motion of particular muscles, especially in the face",4
59,ExpProc3,88,TOKYO,semantic,Seoul,know,1111,Seoul,4241,1,Capital of South Korea,5
59,ExpProc3,89,NIGHT,unrelated,embryology,know,835,neonatology,11238,0,The study of the developing fetus before birth,10
59,ExpProc3,90,WILDE,semantic,Shaw,dontknow,1494,12345,771,0,Last name of Irish author well known for Pygmalion and Man and Superman,5
59,ExpProc3,91,ALLOTMENT,both,allocation,know,2178,allotment,2791,0,Portion set aside for a specific purpose or to particular persons or things,10
59,ExpProc3,92,KENT,semantic,Wayne,dontknow,664,12345,777,0,Last name of Batman's secret identity,5
59,ExpProc3,93,MARRIAGE,semantic,polygamy,know,328,polygamy,3189,1,The practice of having more than one spouse at the same time,8
59,ExpProc3,94,ASHE,semantic,Robinson,dontknow,2879,12345,828,0,Last name of first African American Major League Baseball player,8
59,ExpProc3,95,BLAND,both,banal,know,724,mundane,1755,0,Obvious or trite; commonplace,5
59,ExpProc3,96,HARBINGER,phonological,herbaceous,dontknow,788,12345,537,0,"Term for type of plant without woody or persistent stem, whose leaves and roots are often used for food, medicine, or scent",10
59,ExpProc3,97,BELGRADE,semantic,Prague,know,1108,Prague,2469,1,Capital of Czechoslovakia,8
59,ExpProc3,98,SHOP,unrelated,Helsinki,know,3217,Oslo,2258,0,Capital of Finland,8
59,ExpProc3,99,LABEL,phonological,libel,know,953,libel,2216,1,The illegal act of writing untrue things about someone,5
59,ExpProc3,100,RHINO,unrelated,denigrate,know,890,slander,2476,0,To criticize unfairly; to attack the reputation of,9
60,ExpProc4,1,SPARSE,semantic,meager,know,5209,inadequate,7607,0,"Lacking desirable qualities, as in richness or strength",6
60,ExpProc4,2,EMBLEMATIC,phonological,embryology,other,8533,obstetrician,6370,0,The study of the developing fetus before birth,10
60,ExpProc4,3,LIGHT,unrelated,barter,know,1487,barter,2324,1,To trade by exchanging goods for other goods rather than money,6
60,ExpProc4,4,ALBEE,semantic,Miller,know,7882,Miller,2883,1,Last name of the author of The Crucible,6
60,ExpProc4,5,THOUGHTLESS,semantic,injudicious,know,1513,thoughtless,2301,0,Showing poor judgment; unwise,11
60,ExpProc4,6,GESTALT,phonological,Gershwin,other,7689,Williams,2307,0,Last name of American composer most known for Rhapsody in Blue and An American in Paris,7
60,ExpProc4,7,PLANK,unrelated,advocate,know,5348,support,1846,0,To plead the cause of another; to support or promote,8
60,ExpProc4,8,PHONE,unrelated,Andes,dontknow,2423,Andes,2196,1,South America's largest mountain range,5
60,ExpProc4,9,EARHART,semantic,Lindbergh,dontknow,3414,12345,2249,0,Last name of first person to fly solo nonstop across Atlantic,9
60,ExpProc4,10,DARKEN,phonological,Darfur,tipoftongue,5452,12345,5162,0,Region in Sudan where guerilla conflict and possibly genocide began in 2003,5
60,ExpProc4,11,GLASS,unrelated,bewilder,know,1219,bewilder,2073,1,To cause someone to become perplexed and confused,8
60,ExpProc4,12,FOREVER,phonological,fervent,know,5653,emphatic,1995,0,Having or displaying a passionate intensity,7
60,ExpProc4,13,HALL,phonological,Hale,other,1171,Washington,2587,0,Last name of man known for saying I only regret that I have but one life to give for my country,3
60,ExpProc4,14,PILSEN,both,Prague,dontknow,1903,12345,1484,0,Capital of Czechoslovakia,5
60,ExpProc4,15,DIFFICULT,phonological,default,know,1340,summoned,2174,0,"To fail to act, to pay, or to appear for judgment in court",9
60,ExpProc4,16,COGNIZANT,phonological,congruent,know,4125,twin,1160,0,Identical in form; coinciding exactly when superimposed,9
60,ExpProc4,17,WALKER,both,Wayne,know,1861,Wayne,1413,1,Last name of Batman's secret identity,5
60,ExpProc4,18,GINSBURG,semantic,O'Connor,know,832,Pelosi,1691,0,Last name of first female US Supreme Court justice,8
60,ExpProc4,19,WILSON,both,Watson,know,256,Watson,1454,1,Last name of Sherlock Holmes' assistant and friend,5
60,ExpProc4,20,AIR,unrelated,Carroll,tipoftongue,1355,12345,1479,0,Last name of author of Alice in Wonderland,7
60,ExpProc4,21,QUINN,both,Quayle,know,1383,Chaney,1723,0,Last name of vice president of George H.W. Bush,5
